,word,lemma,onset,offset,section,sentence_index
13817,quand,quand,131.23,131.48,9,1479
13818,on,on,131.48,131.56,9,1479
13819,l',l',131.56,131.61,9,1479
13820,a,a,131.61,131.68,9,1479
13821,tiré,tiré,131.68,132.06,9,1479
13822,à,à,132.06,132.11,9,1479
13823,la,la,132.11,132.2,9,1479
13824,carabine,carabine,132.2,132.89,9,1479
13825,il,il,133.83,134.04,9,1480
13826,me,me,134.04,134.2,9,1480
13827,dit,dit,134.2,134.52,9,1480
13828,je,je,135.09,135.19,9,1480
13829,suis,suis,135.19,135.45,9,1480
13830,content,content,135.45,135.87,9,1480
13831,que,que,135.87,136.01,9,1480
13832,tu,tu,136.01,136.15,9,1480
13833,aies,aies,136.15,136.21,9,1480
13834,trouvé,trouvé,136.21,136.57,9,1480
13835,ce,ce,136.57,136.72,9,1480
13836,qui,qui,136.72,136.88,9,1480
13837,manquait,manquait,136.88,137.23,9,1480
13838,à,à,137.23,137.31,9,1480
13839,ta,ta,137.31,137.45,9,1480
13840,machine,machine,137.45,137.98,9,1480
13841,tu,tu,138.31,138.44,9,1481
13842,vas,vas,138.44,138.58,9,1481
13843,pouvoir,pouvoir,138.58,139.03,9,1481
13844,rentrer,rentrer,139.03,139.28,9,1481
13845,chez,chez,139.28,139.48,9,1481
13846,toi,toi,139.48,139.71,9,1481
13847,comment,comment,141.01,141.46,9,1482
13848,sais,sais,141.46,141.76,9,1482
13849,-tu,tu,141.76,142.06,9,1482
13850,je,je,142.81,143.06,9,1483
13851,venais,venais,143.06,143.4,9,1483
13852,justement,justement,143.4,143.98,9,1483
13853,lui,lui,143.98,144.16,9,1483
13854,annoncer,annoncer,144.16,144.66,9,1483
13855,que,que,144.66,144.98,9,1483
13856,contre,contre,145.33,145.72,9,1483
13857,toute,toute,145.72,146.01,9,1483
13858,espérance,espérance,146.01,146.69,9,1483
13859,j',j',146.76,146.9,9,1483
13860,avais,avais,146.9,147.09,9,1483
13861,réussi,réussi,147.09,147.62,9,1483
13862,mon,mon,147.62,147.75,9,1483
13863,travail,travail,147.75,148.363524,9,1483
13864,il,il,149.760368,149.8517,9,1484
13865,ne,ne,149.8517,149.95,9,1484
13866,répondit,répondit,149.95,150.46,9,1484
13867,rien,rien,150.46,150.73,9,1484
13868,à,à,150.73,150.79,9,1484
13869,ma,ma,150.79,150.91,9,1484
13870,question,question,150.91,151.39,9,1484
13871,mais,mais,151.63,151.94,9,1484
13872,il,il,151.94,152.02,9,1484
13873,ajouta,ajouta,152.02,152.48,9,1484
13874,moi,moi,153.41,153.59,9,1484
13875,aussi,aussi,153.59,153.95,9,1484
13876,aujourd',aujourd,153.95,154.24,9,1484
13877,hui,hui,154.24,154.48,9,1484
13878,je,je,154.48,154.62,9,1484
13879,rentre,rentre,154.62,154.95,9,1484
13880,chez,chez,154.95,155.14,9,1484
13881,moi,moi,155.14,155.35,9,1484
13882,puis,puis,156.37,156.7,9,1485
13883,mélancolique,mélancolique,156.84,157.68,9,1485
13884,c',c',158.43,158.61,9,1485
13885,est,est,158.61,158.73,9,1485
13886,bien,bien,158.73,159.01,9,1485
13887,plus,plus,159.01,159.18,9,1485
13888,loin,loin,159.18,159.55,9,1485
13889,c',c',159.95,160.13,9,1486
13890,est,est,160.13,160.24,9,1486
13891,bien,bien,160.24,160.5,9,1486
13892,plus,plus,160.5,160.67,9,1486
13893,difficile,difficile,160.67,161.42,9,1486
13894,je,je,162.77,162.9,9,1487
13895,sentais,sentais,162.9,163.42,9,1487
13896,bien,bien,163.42,163.66,9,1487
13897,qu',qu',163.66,163.75,9,1487
13898,il,il,163.75,163.88,9,1487
13899,se,se,163.88,164.03,9,1487
13900,passait,passait,164.03,164.37,9,1487
13901,quelque,quelque,164.37,164.66,9,1487
13902,chose,chose,164.66,165.1,9,1487
13903,d',d',165.1,165.19,9,1487
13904,extraordinaire,extraordinaire,165.19,166.52,9,1487
13905,je,je,167.17,167.37,9,1488
13906,le,le,167.37,167.5,9,1488
13907,serrais,serrais,167.62,167.91,9,1488
13908,dans,dans,167.91,168.05,9,1488
13909,les,les,168.05,168.16,9,1488
13910,bras,bras,168.16,168.45,9,1488
13911,comme,comme,168.45,168.66,9,1488
13912,un,un,168.66,168.76,9,1488
13913,petit,petit,168.76,169.11,9,1488
13914,enfant,enfant,169.11,169.52,9,1488
